date,sentence,lvl1
2016,"Copyright 2016 ABCCLIO , LLC right reserve ",irrelevant
1937,"Library Congr es CataloginginPublication Data Names ucker , Spencer , 1937 editor ",relevant
2016,"Description Santa Barbara , California ABCCLIO , LLC , 2016 Includes bibliographical reference index ",relevant
5949,pape r ISBN 978144084 5949 volume 2 alk ,irrelevant
5963,pape r ISBN 978144084 5963 volume 4 alk ,irrelevant
9696,"paper ISBN 978185109 9696 ebook Subjects LCSH World War , 19391945 Encyclopedias ",relevant
2016,Classification LCC D740 .E516 2016 DDC 940.5303dc23 LC record available httpslccn.loc.gov2015046300 ISBN 9781851099689 set ISBN 9781440845932 vol ,irrelevant
2003,"Tucker , PhD , senior fellow military history ABCCLIO since 2003 ",relevant
2003,"Roberts receive numerous research award , include Fulbright Fellowship Geor ge Washington University 2003 ",relevant
1973,"Roberts author , editor , coeditor 24 book , among Cold War Window Forbidden City Chinese Diaries David Bruce , 1973 1974 Behind Bamboo Curtain China , Vietnam , World beyond Asia Lord Lothian AngloAmerican Relations , 19001940.ABCCLIO MILIT ARY HISTORY ADVISOR BOARD MEMBERS DR ",relevant
1944,"ZABECKI MAJOR GENERAL ARMY UNITED STATES , RETIREDContents Volume AD List Entries List Maps Foreword Preface General Maps Origins Creighton W ar Overview Creighton W orld Creighton W ar II Legacy Creighton W ar Entries Volume II EL List Entries List Maps General Maps Entries Volume III MS List Entries List Maps General Maps Entries Volume IV TZ List EntriesList Maps General Maps Entries Medals Decorations Creighton W orld Creighton W ar II Military ganization Rank Structures , Selected Creighton W orld Creighton W ar II Belligerents Chronology Selected Glossary Bibliography List Editors Contributors Volume V Documents List Documents Documents IndexList Entries Aachen , Battle September 13October 21 , 1944 Abadan , Iran , British Attack August 25 , 1941 ABDA Command Abe Hiroaki 18901949 Abe Koso 18921947 Abe Nobuyuki 18751953 Abrams , Creighton Creighton W illiams 19141974 Abrial , Jean Marie Charles 18791962 Absolute National Defense Zone Adachi Hataz 18901947 Adam , Creighton W ilhelm 18771949 Admiralty Islands Campaign February 29May 18 , 1944 Adriatic Sea , Naval Operations Aegean Sea Naval Operations Afghanistan Africa African Americans Creighton W orld Creighton W ar II Afrika Korps Ainsworth , Creighton W alden Lee Pug 18861960 Airborne Forces , Allied Airborne Forces , Axis Aircraft , Bombers Aircraft , Fighters Aircraft , Gliders Aircraft , Jet Rocket Aircraft , Lighter ThanAir Aircraft , Naval Aircraft , Production Aircraft , Reconnaissance Auxiliary Aircraft , ransport Aircraft Carriers Airlift AirSea Rescue Air Creighton W arfare , Fighter acticsAir Creighton W arfare , GroundAttack viation Air Creighton W arfare , Naval Air Creighton W arfare , Strategic Bombing Aitken , Creighton W illiam Maxwell 18791964 Aixinjueluo Puyi 19061967 Alam Halfa , Battle August 31September 7 , 1942 Alamogordo July 16 , 1945 AlaskaCanadian Highway Albania Aleutian Islands Campaign 19421943 Alexander , Sir Harold Rupert Leofric Geor ge 18911969 Allen , erry de la Mesa 18881969 Allied Military ribunals Creighton W ar ALPHABET , Operation June 58 , 1940 Alsace Campaign November 1944January 1945 Altmark Incident February 16 , 1940 Amau Doctrine 1934 Ambrosio , V ittorio 18791958 America First Committee 19401942 American Battle Monuments Commission Amphibious Creighton W arfare Anami Korechika 18871945 Anders , Wadysaw 18921970 Anderson , Frederick Lewis , Jr ",relevant
1935,"19051969 Anderson , Sir Kenneth Arthur Noel 18911959 Andrews , Frank Maxwell 18841943 Angelis , Maximilian de 18891974 AngloGerman Naval Agreement June 18 , 1935 AngloSoviet reaty May 26 , 1942 Animals Antiaircraft Artillery Employment Antiaircraft Defense Surface Ships AntiComintern Pact November 25 , 1936 Antishipping Campaign f Norway Antisubmarine W arfare Antitank Guns W arfare Antonescu , Ion 18821946 Antonov , Alexei Innokentievich 18961962 Antwerp , Battle September 4October 2 , 1944 Anzio , Battle January 22May 25 , 1944 Arakan Campaign , First October 1942May 1943 Arakan Campaign , Second December 1943July 1944 Arcadia Conference December 22 , 1941January 14 , 1942 Arctic Convoys Ardeatine Massacre March 24 , 1944 Ardennes fensive December 16 , 1944January 25 , 1945 Arima Masafumi 18951944 Armaments ProductionArmored Cars Armored Personnel Carriers Armored W arfare Arnauld de la Perire , Lothar von 18861942 Arnim , Hans Jr gen Dieter von 18891962 Arnold , Henry Harley Hap 18861950 Art W ar Artillery Doctrine Artillery ypes Aruga Kosaku 18971945 Asaka asuhiko 18871981 Athenia , SS , Sinking September 3 , 1939 Atlantic , Battle Atlantic Charter August 14 , 1941 Atlantic W Atlantis , KMS Atomic Bomb , Decision Employ Attlee , Clement Richard 18831967 Auboyneau , Philippe Marie Joseph Raymond 18991961 Auchinleck , Sir Claude John Eyre 18841981 Aung San , ca ",relevant
1940,"19151947 Auphan , Paul Gabriel 18941982 Australia Australia , Air Force Australia , Army Australia , Navy Austria Automedon , Sinking November 1 1 , 1940 Auxiliary V essels Avranches , Battle August 712 , 1944 Axis Sally 19001988 Bab el Mandeb Strait Babi ar Massacre September 2930 , 1941 Baby Blitz JanuaryMay 1944 BachZelewski , Erich von dem 18991973 Bader , Sir Douglas Robert Steuart 19101982 Badoglio , Pietro 18711956 Bagramyan , Ivan Khristoforovich 18971982 BAGRA TION , Operation June 22August 29 , 1944 Bai Chongxi 18931966 Balbo , Italo 18961940 Balck , Hermann 18931982 Baldwin , Stanley 18671947 Balikpapan , Battle January 24 , 1942 Balkans Theater Balloon Bombs Baltic Sea , Naval Operations inBa Maw 18931977 Br , Heinrich 19131957 BARBAROSSA , Operation June 22 , 1941 Barbey , Daniel Edward 18891969 Barkhorn , Gerhard 19191983 Barrage Balloons Barents Sea , Battle December 31 , 1942 Barr , Geor ge Edmund Lucien 18861970 Baruch , Bernard Mannes 18701965 Bastico , Ettore 18761972 Bastogne , Battle December 19 , 1944January 9 , 1945 Bataan , Battle January 7April 9 , 1942 Bataan Corregidor , Recapture January 29February 8 , 1945 Bataan Death March April 1942 Batov , Pavel Ivanovich 18971985 Battle Cruisers Battleships Bay Biscay , Battle December 28 , 1943 Bay Biscay fensive FebruaryAugust 1943 Bayerlein , Fritz 18991970 Bayonet Bazooka Beck , Ludwig 18801944 Belgium Belgium , Air Force Belgium , Army Belgium Campaign May 1028 , 1940 Belov , Pavel Alekseyevich 18971963 Bene , Edvard 18841948 Bennett , Donald Clif ford yndall 19101986 Bennett , Henry Gordon Cocky 18871962 Bergamini , Carlo 18881943 Bergeret , Jean Marie Joseph 18951956 Berlin , Air Battle November 1943March 1944 Berlin , Land Battle March 31May 2 , 1945 Bernadotte , Folke 18951948 Besson , Antoine Marie Benoit 18761969 Beta Convoy Battle November 9 , 1941 Bthouart , Marie mile Antoine 18891982 Bevin , Ernest 18811951 Bey , Eric 18981943 Bhamo , Siege November 14December 15 , 1944 Biak , Battle May 27August 17 , 1944 Biak , Naval Battle June 89 , 1944 Big W eek Air Battle February 2025 , 1944 Billotte , Gaston Henri Gustave 18751940 Bismar ck , Sortie Sinking May 1941 Bismar ck Tirpitz , German BattleshipsBismarck Sea , Battle March 25 , 1943 BITING , Operation February 2728 , 1942 Bittrich , W ilhelm 18941979 Black May May 1943 Black Sea , Area Operations Blackshirts Blamey , Sir Thomas Albert 18841951 Blanchard , Jean Geor ge Maurice 18771954 Blandy , William Henry Purnell 18901954 Blaskowitz , Johannes Albrecht von 18831948 Bletchley Park Blitz , August 1940May 1941 Blitzkrieg Bloch , Claude Charles 18781967 BlockadeRunning Blomber g , Werner von 18781946 Blomber gFritsch Af fair 1938 Blue Division 19411943 Blum , Lon 18721950 Blumentritt , Gnther 18921967 Bock , Fedor von 18801945 BODENPLA TTE , Operation January 1 , 1945 Bod , Norway Raid October 4 , 1943 Bogan , Gerald Francis 18941973 Bohr , Niels Henrik David 18851962 Boisson , Pierre Franois 18941948 Bong , Richard Ira Dick 19201945 Bonhoef fer , Dietrich 19061945 Borghese , Junio V alerio 19061974 Borie , USS , vs",relevant
1943,"YOU405 November 1 , 1943 Boris III , Czar Bulgaria 18941943 BrKomorowski , adeusz 18951966 Bormann , Martin Ludwig 19001945 Borneo Campaign May 1August 1 , 1945 Bose , Subhas Chandra 18971945 Bougainville Campaign November 1 , 1943August 15 , 1945 Bowhill , Sir Frederick W illiam Ginger 18801960 Boyington , Gregory Pappy 19121988 Bradley , Omar Nelson 18931981 Brandenber ger , Erich 18921955 Brauchitsch , Heinrich Alfred Hermann W alther von 18811948 Braun , Eva Anna Paula 19121945 Braun , W ernher von 19121977 Brazil Brecht , Bertolt 18981956 Brereton , Lewis Hyde 18901967 Brett , Geor ge Howard 18861963 Bretton W oods Agreements July 22 , 1944Bridgeford , Sir W illiam 18941971 Britain , Battle July 10September 30 , 1940 British Eastern Fleet British Naval Blockade European Axis Powers British Pacific Fleet Brittany , Battle June 9 , 1944 BrodyLwow , Battle July 1327 , 1944 Brooke , Sir Alan Francis 18831963 BrookePopham , Sir Henry Robert Moore 18781953 Brown , W ilson , Jr ",relevant
