,year,country,sentence
0,1973,China,"Well publish 20thcentury diplomatic international history , author , editor , coeditor 24 book , among Cold War Window Forbidden City Chinese Diaries David Bruce , 1973 1974 Behind Bamboo Curtain China , Vietnam , World beyond Asia Lord Lothian AngloAmerican Relations , 19001940.ABCCLIO MILIT ARY HISTORY ADVISOR BOARD MEMBERS DR"
1,1973,Vietnam,"Well publish 20thcentury diplomatic international history , author , editor , coeditor 24 book , among Cold War Window Forbidden City Chinese Diaries David Bruce , 1973 1974 Behind Bamboo Curtain China , Vietnam , World beyond Asia Lord Lothian AngloAmerican Relations , 19001940.ABCCLIO MILIT ARY HISTORY ADVISOR BOARD MEMBERS DR"
2,1973,India,effect war India explore Satyajit Ray Distant Thunder 1973 
3,1973,Angola,"Hershey retire army April 1973 die Angola , Indiana , May 20 , 1977 "
4,1973,Germany,"Dsseldorf , Germany Droste V erlag , 1973 "
5,1973,Germany,"Dsseldorf , Germany Droste , 1973 "
6,1944,Iran,"ZABECKI MAJOR GENERAL ARMY UNITED STATES , RETIREDContents Volume AD List Entries List Maps Foreword Preface General Maps Origins W ar Overview W orld W ar II Legacy W ar Entries Volume II EL List Entries List Maps General Maps Entries Volume III MS List Entries List Maps General Maps Entries Volume IV TZ List EntriesList Maps General Maps Entries Medals Decorations W orld W ar II Military ganization Rank Structures , Selected W orld W ar II Belligerents Chronology Selected Glossary Bibliography List Editors Contributors Volume V Documents List Documents Documents IndexList Entries Aachen , Battle September 13October 21 , 1944 Abadan , Iran , British Attack August 25 , 1941 ABDA Command Abe Hiroaki 18901949 Abe Koso 18921947 Abe Nobuyuki 18751953 Abrams , Creighton W illiams 19141974 Abrial , Jean Marie Charles 18791962 Absolute National Defense Zone Adachi Hataz 18901947 Adam , W ilhelm 18771949 Admiralty Islands Campaign February 29May 18 , 1944 Adriatic Sea , Naval Operations Aegean Sea Naval Operations Afghanistan Africa African Americans W orld W ar II Afrika Korps Ainsworth , W alden Lee Pug 18861960 Airborne Forces , Allied Airborne Forces , Axis Aircraft , Bombers Aircraft , Fighters Aircraft , Gliders Aircraft , Jet Rocket Aircraft , Lighter ThanAir Aircraft , Naval Aircraft , Production Aircraft , Reconnaissance Auxiliary Aircraft , ransport Aircraft Carriers Airlift AirSea Rescue Air W arfare , Fighter acticsAir W arfare , GroundAttack viation Air W arfare , Naval Air W arfare , Strategic Bombing Aitken , W illiam Maxwell 18791964 Aixinjueluo Puyi 19061967 Alam Halfa , Battle August 31September 7 , 1942 Alamogordo July 16 , 1945 AlaskaCanadian Highway Albania Aleutian Islands Campaign 19421943 Alexander , Sir Harold Rupert Leofric Geor ge 18911969 Allen , erry de la Mesa 18881969 Allied Military ribunals W ar ALPHABET , Operation June 58 , 1940 Alsace Campaign November 1944January 1945 Altmark Incident February 16 , 1940 Amau Doctrine 1934 Ambrosio , V ittorio 18791958 America First Committee 19401942 American Battle Monuments Commission Amphibious W arfare Anami Korechika 18871945 Anders , Wadysaw 18921970 Anderson , Frederick Lewis , Jr "
7,1944,Afghanistan,"ZABECKI MAJOR GENERAL ARMY UNITED STATES , RETIREDContents Volume AD List Entries List Maps Foreword Preface General Maps Origins W ar Overview W orld W ar II Legacy W ar Entries Volume II EL List Entries List Maps General Maps Entries Volume III MS List Entries List Maps General Maps Entries Volume IV TZ List EntriesList Maps General Maps Entries Medals Decorations W orld W ar II Military ganization Rank Structures , Selected W orld W ar II Belligerents Chronology Selected Glossary Bibliography List Editors Contributors Volume V Documents List Documents Documents IndexList Entries Aachen , Battle September 13October 21 , 1944 Abadan , Iran , British Attack August 25 , 1941 ABDA Command Abe Hiroaki 18901949 Abe Koso 18921947 Abe Nobuyuki 18751953 Abrams , Creighton W illiams 19141974 Abrial , Jean Marie Charles 18791962 Absolute National Defense Zone Adachi Hataz 18901947 Adam , W ilhelm 18771949 Admiralty Islands Campaign February 29May 18 , 1944 Adriatic Sea , Naval Operations Aegean Sea Naval Operations Afghanistan Africa African Americans W orld W ar II Afrika Korps Ainsworth , W alden Lee Pug 18861960 Airborne Forces , Allied Airborne Forces , Axis Aircraft , Bombers Aircraft , Fighters Aircraft , Gliders Aircraft , Jet Rocket Aircraft , Lighter ThanAir Aircraft , Naval Aircraft , Production Aircraft , Reconnaissance Auxiliary Aircraft , ransport Aircraft Carriers Airlift AirSea Rescue Air W arfare , Fighter acticsAir W arfare , GroundAttack viation Air W arfare , Naval Air W arfare , Strategic Bombing Aitken , W illiam Maxwell 18791964 Aixinjueluo Puyi 19061967 Alam Halfa , Battle August 31September 7 , 1942 Alamogordo July 16 , 1945 AlaskaCanadian Highway Albania Aleutian Islands Campaign 19421943 Alexander , Sir Harold Rupert Leofric Geor ge 18911969 Allen , erry de la Mesa 18881969 Allied Military ribunals W ar ALPHABET , Operation June 58 , 1940 Alsace Campaign November 1944January 1945 Altmark Incident February 16 , 1940 Amau Doctrine 1934 Ambrosio , V ittorio 18791958 America First Committee 19401942 American Battle Monuments Commission Amphibious W arfare Anami Korechika 18871945 Anders , Wadysaw 18921970 Anderson , Frederick Lewis , Jr "
8,1944,Finland,"FalaiseAr gentan Pocket August 1944 Falkenhorst , Nikolaus von 18851968 FastAttack Craft Fechteler , William Morrow 18961967 Fedorenko , akov Nikolayevich 18961947 Fedyuninsky , Ivan Ivanovich 19001977 Fegen , Edward Stephen Fogarty 18911940 Feng uxiang 18821948 Fermi , Enrico 19011954 Festung Europa Fight Freedom 19401942 Film W ar Finland Finland , Air Force Finland , Army Navy FinnishSoviet W ar , First November 30 , 1939March 13 , 1940FinnishSoviet W ar , Second June 25 , 1941September 4 , 1944 Fiske , W illiam Billy Meade Lindsley , III 191 11940 Fitch , Aubrey W ray 18831978 Flamethrowers Fleet rain Fleischer , Carl Gustav 18831942 Fletcher , Frank Jack 18851973 Fluckey , Eugene Bennett 19132007 Flying igers Forbes , Sir Charles Morton 18801960 Force H Force K 1941 Forrestal , James V incent 18921949 Fort Drum , Manila Bay TITUDE , TH SOUTH , Operations 1944 Foulkes , Charles 19031969 Fourcade , MarieMadeleine Bridou 19091989 France France , Air Force France , Army France , Battle May 10June 25 , 1940 France , Navy France Campaign 1944 FrancoBahamonde , Francisco Paulino Hermenegildo edulo 18921975 FrancoThai W ar November 1940January 1941 Fraser , Bruce Austin 18881981 Fredendall , Lloyd Ralston 18831963 Frederick , Robert ryon 19071970 Free French Frenay , Henri 19051988 French Indochina Freyber g , Bernard Cyril 18891963 Frick , W ilhelm 18771946 Friedebur g , Hans Geor g von 18951945 Friessner , Johannes 18921971 Fritsch , W erner Thomas Ludwig von 18801939 Frogmen Fromm , Friedrich 18881945 Frost , John Dutton 19121993 Fuchida Mitsuo 19021976 Fukutome Shigeru 18911971 Fushimi Hiroyasu 18721946 Galland , Adolf Joseph Ferdinand 19121996 Gallery , Daniel V incent , Jr "
10,1944,Finland,Finland driven war force sign armistice Soviets September 1944 
