year,sentence
1930,"Beginning 1930 , Hitler begin see Braun sporadically social basis "
1930,"early 1930s , Jiang first priority eliminate GMD major political rivalthe Chin ese Communist Party CCP , lead charismatic innovative Mao Zedong Mao Tsetung , whose force Jiang mount annual campaign 1930 1935  February 1930 , Feng another warlord , Yan Xishan Yen Hsishan , know northern coalition , rebel Jiang  1930 onward , Jiang mount annual campaign Soviet republic , eradicate apparently ranke high Jiang priority oppose Japan 1932 establishment puppet government China northeastern region Manchuria "
1931,"Hitler involve Hitler niece , Geli Raubal , commit suicide 1931 , later Eva Braun , Hitler hid public "
1931,"late 1931 , Bai Li rejoin GMD , work create reformist provincial government resolvingtheir difference Jiang  Dece mber 1931 , follow September 18 Japanese invasion Shenyang Liaoning Provinc e , Jiang appoint Dai director newly create Second Department Investigation Statistics Bureau Guomindang Military Affairs Commission  September 1931 Mukden Shenyang Incident Liaoning , Feng return public life , denounce Jiang failure resist Japanese advance northern China  Japanese force seize China northeastern province Manc huria 1931 establish puppet state Manzho uguo Manchuk uo , Jiang protest League Nations receive little concrete assistance  Wang attempt form Wang government , Wang fail eventually mend fence Jiang show unity follow Japanese invasion Manchuria 1931  Meanwhil e , Yang grow increasingly dissatisfied Jiang nonresistance toward Japanese aggression northern China , Yang follow since September 1931 "
1931,"demote 1931 , allegedly publish account civil war give Leon Trotsky credit Joseph Stalin could abide  Soviet dictator Joseph Stalin industrialization campaign 1930s emphasis technological progress , articulate speech February 4 , 1931 , also imply need improvem ents military technology enable Soviet Union catch Western power "
1932,Kurt Meyer join Schutzstaf fel SS 1932 Leibstandarte Adolf Hitler LAH 1934 
1932,"Benito Mussolini Giovanni Gentil e , Fascism Article Italian Encyclopedia , 1932 3  Benito Mussolini Giovanni Gentile , Fascism Article Italian Encyclopedia , 1932 , 19491950 3  Benito Mussolini Giovanni Gentile , Fascism Article Italian Encyclopedia , 1932 , 19491950 doc "
1932,"1932 onward , Churchill sound theme eloquently Parliament , Conservative leader remain unsympathetic "
1932,"Built Camden , New Jersey , commission 1932 Philadelphia Navy Yard , Indianapolis CA35 carry President Franklin D"
1932,"Braun attempt suicide 1932 apparent attempt capture Hitler romantic attention , Hitler Braun become intimate , althoug h Hitler careful not see public  Dece mber 1932 , Hess become head Central Political Committee National Socialist Nazi Party , already reputation slavish follower Hitler  April 1932 , Hitler ran Field Marshal Paul von Hindenbur g presidency Germany  Hindenbur g , Hitler receive 13 million vote ina compl etely free election , June 1932 Nazis large political party Reichstag "
1932,"Appointed titula r head Nationalist government 1932 , Wang force bear onus appease Japanese Jiang lead thearmy campaign exterminate Communists "
1932,"Marshall promote colonel 1932 , hold assort command post continental United States "
1932,"November 1932 , Roosevelt elect president United States Democratic ticket , triumph incumbent President Herbert Hoover "
1933,"1933 Adolf Hitler accession power , Stalin become especially disturbed Germany , German fhrer leader clearly state German fhrer leader opposition communism German fhrer leader intention bring large stretch Eastern Europe German control , even sword  January 1933 Adolf Hitler become German chancellor , entirely legitimate mean , October 1933 Adolf Hitler withdrew Germa ny League Nations international disarmament conference meeting Geneva  Adolf Hitler come powe r Germany 1933 , Adolf Hitler quickly make clear Adolf Hitler intend rearm nation , Adolf Hitler interested iconoclastic idea young officer  Blomber g participate Geneva disarmament talk recall end January 1933 become defense minister later , war minister Adolf Hitler first cabinet  Adolf Hitler come power 1933 , Bonhoef fer reject Adolf Hitler government effort create united national Protestant church , German Christians , would synthesize National Socialism Christianity  Nazis open Nazis first concentration camp Dacha , near Munich , March 1933 , two month Adolf Hitler come power  Adolf Hitler come power Januar 1933 , Adolf Hitler push development aviation 1935 openly begin building air force  Germany , Navy Adolf Hitler come powe r January 1933 , Germany embark major program rebuild Germany navy  Adolf Hitler come power January 1933 , traditionalist Goerdeler initially support new government , especially traditionalist Goerdeler centralization authority  1933 , Hoepner become chief staff Military District , continue milit ary despite Adolf Hitler opposition Adolf Adolf Hitler National Socialism  Adolf Hitler come power Germany 1933 , Litvinov champion tie Western Europe collective security  Germany naval strategy developed Adolf Adolf Hitler assumption power 1933  Adolf Hitler take power 1933 , Kriegsmarine basically coastal defense force  Adolf Hitler come power January 1933 , however , Niem ller become concerned Nazi attempt control church , Niem ller oppose gover nment interference religious matter  Nurember g rally grow popularity attendance year , particularly Adolf Adolf Hitler come power 1933  report impressed Adolf Hitler , Todt come power 1933 Todt appoint Todt head technology roadway construction chief become know Organization Todt OT  Adolf Hitler come power 1933 , Witzleben name command Berlin Military Area  Adolf Hitler , Proclamation Address German People , October 14 , 1933 6  Adolf Hitler , Addr es German People , October 14 , 1933 German Nation Nove mber 1918 , German nation laid German Nation arm trust implicitly assurance contain President Wilson 14 Points , marked end disastr ous struggle individual statesman could blame certainly not people war nation  May powerful demonstration People desire peace honor succeed provide relationship European state necessary basis not end century discord strife foundation new well community namely , recognition common high duty base equal right Sour ce Adolf Hitler , October 14 , 1933 Radio Broadcast , DerFuehrer .org , httpder fuehrer .orgredenenglish331014.htm  Adolf Hitler , Proclamation Address German People , October 14 , 1933 , 19521956 6  Adolf Hitler , Proclamation Address German People , October 14 , 1933 , 19521956 doc "
1933,"1933 , Italian dictator Benito Mussolini name Italian dictator Benito Mussolini undersecretary navy naval chief staff , office time Cavagnari would use position navy favorably within fascist regime , forestall development naval aviation , assert peculiar ethos harbor bound fleet passive naval deterrent preservative "
1933,"senator Tennessee 1933 , President Franklin D 1933 , however , Germany rearmament raise new potential danger Atlantic meanwhile , President Franklin D"
1933,"instal power , Hitler drastically increase rearmament Germany already secretly unde r way small extent , 1933 , assist Soviet Union  late 1933 Adolf Hitler come power , Adam assign Bavaria commander Bavaria military district  Hitler become German chancellor 1933 , althoug h Hitler carefully cultivate althoug h Hitler imag e purportedly chaste military warrior politic al hero irresistible woman married German nation  Hitler secure power 1933 , Hitler sought harness German economy war preparation  Roger V iolletGetty Images January 30 , 1933 , Hindenbur g appoint Hitler chancellor  Enabling Act March 1933 give Hitler dictatorial power  Papen help convince reluctant Hindenbur g appoint Hitler chancellor January 30 , 1933 , Papen vice chancellor , claim Papen could control Nazi leader  March 17 , 1933 , Josef Sepp Dietrich establish , Hitler direct order , personal arm guard , Leibstandarte "
1933,"1933 Feng command voluntary army fight Japanese , quickly disband Jiang opposition increase Japanese military pressure  1933 1935 , Jiang sign agreement Japan whereb Jiang acquiesce , least temporarily , Japan domination northern China "
1933,"Roosevelt become America first ambassador Soviet Union 1933  longtime friend President President Roosevelt , Byrnes use Byrnes considerable negotiate talent steer New Deal legislation Congress 1933 onward  1933 , Roosevelt become president United States appoint Morgenthau head Farm Credit Association  Roosevelt , Anna Eleanor 18841962 First Lady United States 1933 1945 statespe rson , , World War II  Roosevelt , naval enthusiast , view naval expansion one many economic stimulus design end Great Depression , promote building program 1933 1934 bring YOU.S  Roosevelt , lead United States since 1933 , die suddenl cerebral hemorrhage "
1933,"1933 Adolf Hitler accession power , Stalin become especially disturbed Germany , German fhrer leader clearly state German fhrer leader opposition communism German fhrer leader intention bring large stretch Eastern Europe German control , even sword "
1934,"November 1934 , however , German chancellor Adolf Hitler communicate London German chancellor Adolf Hitler desire secure naval agreement Britain March 1935 German chancellor Adolf Hitler annou nced Germany rearmament defiance Versailles Treaty  October 1 , 1934 , Adolf Hitler order threefold secret expansion Reichswehr  major , August 1934 become adjutant Chancellor Adolf Chancellor Adolf Hitler continue Hossbac h position chief Central Section Gene ral Staff  BFW big oppo rtunity come 1934 Nazi leader Adolf Hitler rise power begin rearm Germany  Adolf Hitler promote majo r general February 1934 lieutenant general December  Zeitzler early supporter Adolf Hitler 1934 one first join panzer force "
1934,"many year president harbor presidential aspiration , not bear fruit , president groom president son presidency .In 1934 , Franklin D"
1934,"enthusiastic Nazi , Blomber g pressure fhrer remove Sturmabteilungen SA , Storm Troops possible threat support Hitler subsequent June 1934 purge SA Blood Purge , enthusiastic Nazi , Blomber g issue order congratulate Hitler , even though two army general among victim s Frick frame extraordinar law declare Hitler action Blood Purge Sturmabteilung SA , storm troop June 1934 legal statesmanlike  Hitler reward Hitler Hitler active role 1934 Blood Purge SA make SS independent organization subject Hitler imme diate authority  death Hindenbur g August 1934 , Hitler amalgamate office president chancellor , combine title fhrer  Night Long Knives July 1934 , Hitler purge party especially SA remove several politic al opponent  1934 , Hitler take Germany League Nations Geneva disarma ment conference  Following verbal confrontation Hitler meeting January 1934 , Niemller found Niemller target Nazi regime  1934 1938 , urbane Ribbentrop advise Hitler relation Britain played key role nego tiating 1935 naval accord country  Witzleben become opponent Hitler early 1934 active conspirator 1938 result Hitler purge senior general threatof war Czechoslovakia  , 100 commemorative marker , 100 consequence , 100 Dau , Heinrich , 99 description , 100 Graf Spee , 99 Hitler , Adolf , 100 Vian , Philip , 100 Amau Doctrine 1934 , 100101 compare Monroe Doctrine , 100 date enunciate , 100 name , 100 Open Door Policy , 100 reason , 100 , 101 specific point , 100 Ambrosio , V ittorio 18791958 , 101 coup Mussolini , 101 death , 101 major goal , 101 military career , 101 Yugoslavia , 101 America First Committee 19401942 , 101102 Pearl Harbor , 102 belief , 102 date dissolve , 102 date establish , 101 founder , 102 Midwestern Republicans , 102 notable member , 102 American Battle Monuments Commission , 102103 cemetery commission purview , 102 , 103 current status , 102 date create , 102 Pershing , John J "
1934,"Kirov , allege , receive vote Stalin Central Committee election Seventeenth Party Congress 1934 , many party member desire Stalin removal Stalin post secretarygeneral "
1935,"Indeed , Adolf Hitler hop Anglo German Naval Agreement July 1935 would foundation AngloGerman alliance France Soviet Union  German chancellor Adolf Hitler name Dnitz commande r fledgling German submarine force 1935  September November 1935 , German chancellor Adolf Hitler introduce socalled Nurember g Laws define citizenship deprive noncitizen , include Jews , right  first new German submarine , YOU1 , complete five week German chancellor Adolf Hitler repudia tion Versailles reaty June 29 , 1935  Adolf Hitler meddling area 1935 publication view article angered Stalin "
1935,"De Bono success early war , include victory Adowa , De Bono slow pace irk Italian dictator Benito Mussolini , replace De Bono November 1935 De Bono rival , Pietro Badoglio  Benito Mussolini drive empirethe invasion Ethiopia 1935 well invasion France , Greece , Egypt 1940failed improve Italy logistical situation  Benito Mussolini , Call Arms Speech Followers , October 2 , 1935 11.President Franklin D Reprinted Benito Mussolini , Fascism Doctrine Institutions Rome Ardita Publishers , 1935 , 742 excerpt , 1831  Benito Mussolini , Call Arms Speech Followers , October 2 , 1935Introduction October 1935 Italy , seek colony , ignore stricture League Nations invade Abyssinia Ethiopia East Africa  Benito Mussolini , Call Arms Speech Followers , October 2 , 1935 , 1960196111.President Franklin D Benito Mussolini , Call Arms Speech Followers , October 2 , 1935 , 19601961 doc "
1935,", , 110 photograph , 110 reputation , 111 testimony House Military Af fair Committee , 110 Angelis , Maximilian de 18891974 , 111 42nd Field Artillery Regiment , 111 19151916 , 111 date place birth , 111death , 111 education , 111 military command , 111 prisoner war , 111 Second Panzer Army , 111 AngloGerman Naval Agreement June 18 , 1935 , 111112 Article 190 V ersailles reaty , 111 date sign , 112 German advantage , 112 German rearmament , 112 Hitler , Adolf , 112 repudiation , 112 specification , 112 AngloSoviet reaty May 26 , 1942 , 112113 Alamogordo , 90 ancillary clause , 113 Churchill , W inston L"
1935,"1935 invite General Douglas MacArthur island military adviser , follow year Quezon appoint MacArthur field marshal Commonwealth force "
1935,"1935 , Carlson , captain , begin friendship President Franklin D March 1935 President Franklin D"
1935,"1935 , Braun attempt suicide bid Hitler attention  aid political military contact Tokyo Berlin , shima soon gain direc access upper echelon government met privately Hitler first time autumn 1935  , , 110 photograph , 110 reputation , 111 testimony House Military Af fair Committee , 110 Angelis , Maximilian de 18891974 , 111 42nd Field Artillery Regiment , 111 19151916 , 111 date place birth , 111death , 111 education , 111 military command , 111 prisoner war , 111 Second Panzer Army , 111 AngloGerman Naval Agreement June 18 , 1935 , 111112 Article 190 V ersailles reaty , 111 date sign , 112 German advantage , 112 German rearmament , 112 Hitler , Adolf , 112 repudiation , 112 specification , 112 AngloSoviet reaty May 26 , 1942 , 112113 Alamogordo , 90 ancillary clause , 113 Churchill , W inston L"
1935,"end 1935 , Jiang lack resistance enable Japanese occupy Manchu ria Rehe Jehol , old province make part today northeast Hebei Hopeh , southwest Liaoning , southeast Inner Mongolia "
1935,"late 1935 , Soviet leader Joseph Stalin switch strate gic concept small war sea plan build large oceangoi ng fleet "
1935,"subsequently become socia l worker New York City join President Roosevelt New Deal administration first head Federal Emer gency Relief Administration 19331935 , 1935 1938 , head Works Progress Administration  Willkie also back Roosevelt effort extend peacetim e draft repeal Neutrality Act 1935  1935 , Roosevelt select Winant first administrator new Social Security Administration , post held 1937  Roosevelt , Message Neutrality Act , September 1935 10  Roosevelt , Statement Imposing Arms Embar go Ethiopia Italy , October 30 , 1935 12  Roosevelt , Message Neutrality Act , September 1935 , 19591960 10  Roosevelt , Statement Imposing Arms Embar go Ethiopia Italy , October 30 , 1935 , 1961 12  Roosevelt , Message Neutrality Act , September 1935 , 19591960 doc  Roosevelt , Statement Imposing Arms Embar go Ethiopia Italy , October 30 , 1935 , 1961 doc "
1935,"Despite relatively modest post , Stalin one five general appoint marshal Soviet Union 1935  Adolf Hitler meddling area 1935 publication view article angered Stalin "
1936,"Instead , Adolf Hitler intend wage short , intense campaignswith limited military force development since 1936  late 1936 , three year Adolf Hitler come power , German army still 284 gun  One Colonel Genera l Werner von Fritsch first success convincing German chancellor Adolf German chancellor Adolf Hitler intervene side Nationalists Spanish Civil War 1936 1939.Canaris become disillusion Fritsch Affair 1938 , untruthful alleg ations homosexual activity brought Colonel Genera l Werner von Fritsch Colonel Genera l Werner von Fritsch opposition German chancellor Adolf Hitler announce plan war  1936 , German leader Adolf Hitler sent German troop Rhineland  League Council consider adoption oil sanction , Adolf Hitler sent German troop Rhineland March 1936  Although promote lieutenant general August 1936 , retire February 1938 German chancellor Adolf Hitler pur ge army  German chancellor Adolf German chancellor Adolf Hitler expansion army , Kluge command VI Corps 1936  Nationalists sought German dictator Adolf Hitler support , July 26 , 1936 , German dictator Adolf Hitler order clandestine military aid clandestine military aid airliftin g troop Spain North Africa  Timed occur midst France bitterly contes ted election campaign World War , German chancel lor Adolf Hitler move do hastily mount preliminary directive issue March 2 , 1936  Indeed , part protect Ruhr German leader Adolf Hitler order remilitarization Rhineland March 1936 "
1936,"Navy last class battleship , evolution , 119 variable time VY fuze , 119 AntiComintern Pact November 25 , 1936 , 120121 definition , 120 effect , 120121 Hitler , Adolf , 120 purpose , 120 Ribbentrop , Joachim von , 120 worthlessness , 121 antishipping campaign f Norway , 121 Banf f Dallachy strike wing , 121consequences , 121 principal objective , 121 statistic concern , 121 antisubmarine warfare , 121126 active antisubmarine weapon , 122 aircraft , 123124 , 124 , 125 Audacity , 124 British , 122 Canadian Escort Force , 122 carrier base aircraft , 124125 Churchill , W inston L"
